"name","unit","amaranth","barley hulled","buckwheat","cornmeal","Kamut","Pearl millet","oats","rolled oats","quinoa","rice, brown","rye","sorghum flour","sorghum","spelt","teff","triticale","wheat, hard white","wheat, red","bulgur","wheat, durum","wild rice","",""
"calories","kcal","167","159","154","163","152","170","2","171","166","166","152","162","153","152","165","151","154","147","154","153","161","",""
"protein","g","6.10","5.62","5.96","3.65","6.54","4.96","5.92","5.92","6.35","3.57","4.65","3.54","5.09","6.56","5.98","5.87","5.09","5.67","5.53","6.16","6.63","",""
"total lipid","g","3.16","1.04","1.53","1.62","0.96","1.90","2.93","2.93","2.73","1.31","0.73","1.48","1.48","1.09","1.07","0.94","0.77","0.69","0.60","1.11","0.49","",""
"carbohydrates","g","29.36","33.07","32.18","34.60","31.76","32.78","30.47","30.47","28.87","34.76","34.14","34.86","33.58","31.59","32.91","32.46","34.16","32.03","34.14","32.01","33.71","",""
"fiber","g","3.0","7.8","4.5","3.3","5.0","3.8","4.5","4.5","3.2","1.6","6.8","3.0","2.8","4.8","3.6","6.6","5.5","5.5","8.2","4.81","2.8","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"calcium","mg","72","15","8","3","10","4","23","23","21","10","11","5","13","12","81","17","14","13","16","15","9","",""
"Iron","mg","3.42","1.62","0.99","1.55","1.70","1.35","1.91","1.91","2.06","0.66","1.18","1.35","1.98","2.00","3.43","1.16","2.05","1.44","1.11","1.58","0.88","",""
"Magnesium","mg","112","60","104","57","58","51","62","62","89","64","50","54","86","61","83","58","42","57","74","65","80","",""
"Phosphorus","mg","251","119","156","108","164","128","184","184","206","150","149","130","129","180","193","161","160","130","135","229","195","",""
"Potassium","mg","229","203","207","129","181","88","193","163","253","100","230","140","158","175","192","149","194","163","184","194","192","",""
"Sodium","mg","2","5","0","16","2","2","1","3","2","3","1","2","3","4","5","2","1","1","8","1","3","",""
"Zinc","mg","1.29","1.25","1.08","0.82","1.66","0.76","1.79","1.64","1.40","0.91","1.19","0.65","0.69","1.48","1.63","1.55","1.50","1.19","0.87","1.87","2.68","",""
"Copper","mg","0.24","0.22","0.50","0.09","0.23","0.34","0.28","0.18","0.27","0.12","0.17","0.10","","0.23","0.36","0.21","0.16","0.20","0.15","0.25","0.24","",""
"Manganese","mg","1.50","0.87","0.59","0.22","1.23","0.73","2.21","1.63","0.91","1.68","1.16","0.57","","1.34","4.16","1.44","1.72","1.79","1.37","1.36","0.60","",""
"Selenium","mcg","8.4","17.0","3.7","7.0","36.7","1.2","","13.0","3.8","10.5","6.3","5.5","","5.3","2.0","","0.0","31.8","1.0","40.2","1.3","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Vit C","mg","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","39.60","0.00","0.00","0.00","0.00","0.00","0.00","",""
"Thiamin","mg","0.05","0.29","0.05","0.17","0.26","0.19","0.34","0.21","0.16","0.18","0.14","0.12","0.11","0.16","0.18","0.19","0.17","0.17","0.10","0.19","0.05","",""
"Riboflavin","mg","0.09","0.13","0.19","0.09","0.08","0.13","0.06","0.07","0.14","0.04","0.11","0.02","0.06","0.05","0.12","0.06","0.05","0.05","0.05","0.05","0.12","",""
"Niacin","mg","0.42","2.07","3.16","1.63","2.87","2.12","0.43","0.51","0.68","2.29","1.92","2.33","1.32","3.08","1.51","0.64","1.97","2.46","2.30","3.03","3.03","",""
"Pantothenic","mg","0.66","0.13","0.55","0.19","0.43","0.38","0.61","0.50","0.35","0.67","0.66","0.42","","0.48","0.42","0.60","0.43","0.43","0.47","0.42","0.48","",""
"Vit B6","mg","0.27","0.14","0.09","0.14","0.12","0.17","0.05","0.05","0.22","0.23","0.13","0.16","0.27","0.10","0.22","0.06","0.17","0.14","0.15","0.19","0.18","",""
"Folate, DFE","mcg_DFE","37","9","14","11","","38","25","14","83","9","17","11","9","20","29","33","17","17","12","19","43","",""
