"name","unit","mustard","peas","lentil","radish","moth bean","mungbean","sesame"
"calories","kcal","508","42","352","16","343","347","573"
"protein","g","26.1","2.8","24.6","0.68","22.9","23.9","17.7"
"total lipid","g","36.2","0.2","1.06","0.1","1.61","1.15","49.7"
"carbohydrates","g","28.1","7.55","63.4","3.4","61.5","62.6","23.4"
"fiber","g","12.2","2.6","10.7","1.6","0.0","16.3","11.8"
"","","","","","","","",""
"calcium","mg","266","43","35","25","150","132","975"
"Iron","mg","9.21","2.08","6.51","0.34","10.8","6.74","14.6"
"Magnesium","mg","370","24","47","10","381","189","351"
"Phosphorus","mg","828","53","281","20","489","367","629"
"Potassium","mg","728","200","677","233","1190","11250","468"
"Sodium","mg","13","4","6","39","30","15","11"
"Zinc","mg","6.08","0.27","3.27","0.28","1.92","2.68","7.75"
"Copper","mg","0.645","0.079","0.745","0.05","0.6888","0.941","4.08"
"Manganese","mg","2.45","0.244","1.69","0.069","1.82","1.04","2.46"
"Selenium","mcg","208.0","0.7","0.1","0.6","8.2","8.2","34.4"
"","","","","","","","",""
"Vit C","mg","7.1","60","4.5","14.8","4","4.8","0"
"Thiamin","mg","0.805","0.15","0.873","0.012","0.562","0.621","0.791"
"Riboflavin","mg","0.261","0.08","0.211","0.039","0.091","0.233","0.247"
"Niacin","mg","4.73","0.6","2.6","0.245","2.8","2.25","4.52"
"Pantothenic","mg","0.81","0.75","2.14","0.165","1.54","1.91","0.05"
"Vit B6","mg","0.397","0.16","0.54","0.071","0.366","0.382","0.79"
"Folate, DFE","mcg_DFE","162","42","479","25","649","625","97"
